YEAR	MONTH	DAY	DAY_OF_WEEK	AIRLINE	FLIGHT_NUMBER	TAIL_NUMBER	ORIGIN_AIRPORT	DESTINATION_AIRPORT	SCHEDULED_DEPARTURE	DEPARTURE_DELAY	ARRIVAL_DELAY	CANCELLED
2015	1	1	4	DL	758	N903DA	ATL	JAX	1512	79	69	0
2015	1	1	4	DL	2520	N939DN	ATL	JAX	1745	29	27	0
2015	1	1	4	DL	1070	N908DA	ATL	JAX	1945	-6	-8	0
2015	1	1	4	DL	1273	N955DN	ATL	JAX	2045	0	-6	0
2015	1	1	4	DL	2352	N718TW	ATL	JFK	950	-1	-7	0
2015	1	1	4	DL	1218	N986DL	ATL	JFK	1212	3	-15	0
2015	1	1	4	DL	478	N723TW	ATL	JFK	1615	8	7	0
2015	1	1	4	DL	1419	N922DL	ATL	JFK	1724	0	20	0
2015	1	1	4	DL	1750	N910DL	ATL	JFK	2143	-2	1	0
2015	1	1	4	DL	2013	N680DA	ATL	LAS	820	-3	-16	0
2015	1	1	4	DL	1402	N810DN	ATL	LAS	1102	-1	-4	0
2015	1	1	4	DL	975	N383DN	ATL	LAS	1331	9	10	0
2015	1	1	4	DL	1107	N827DN	ATL	LAS	1455	0	-14	0
2015	1	1	4	DL	2143	N822DN	ATL	LAS	1624	-2	-26	0
2015	1	1	4	DL	1580	N1402A	ATL	LAS	1750	1	-18	0
2015	1	1	4	DL	1603	N821DN	ATL	LAS	2030	-1	-29	0
2015	1	1	4	DL	110	N826DN	ATL	LAX	822	-1	5	0
2015	1	1	4	DL	1455	N689DL	ATL	LAX	951	-1	4	0
2015	1	1	4	DL	1555	N818DA	ATL	LAX	1052	0	3	0
2015	1	1	4	DL	1655	N1612T	ATL	LAX	1220	61	44	0
2015	1	1	4	DL	370	N128DL	ATL	LAX	1503	-1	-15	0
2015	1	1	4	DL	81	N705DN	ATL	LAX	1625	19	-8	0
2015	1	1	4	DL	2055	N6705Y	ATL	LAX	1750	-5	-23	0
2015	1	1	4	DL	2155	N690DL	ATL	LAX	1927	11	-1	0
2015	1	1	4	DL	2355	N820DN	ATL	LAX	2051	-5	-16	0
2015	1	1	4	DL	913	N921AT	ATL	LEX	1909	-1	-13	0
2015	1	1	4	DL	2201	N924AT	ATL	LEX	2144	-5	-3	0
